iter	Passed	Remaining
644	1640	902
645	1642	899
646	1644	896
647	1646	894
648	1648	891
649	1649	888
650	1652	885
651	1654	883
652	1657	880
653	1659	877
654	1661	875
655	1663	872
656	1665	869
657	1668	867
658	1671	864
659	1673	861
660	1675	859
661	1677	856
662	1679	853
663	1681	850
664	1684	848
665	1686	845
666	1688	843
667	1690	840
668	1693	837
669	1695	834
670	1697	832
671	1700	829
672	1702	827
673	1704	824
674	1706	821
675	1708	819
676	1711	816
677	1715	814
678	1717	811
679	1719	809
680	1721	806
681	1723	803
682	1725	800
683	1727	798
684	1729	795
685	1731	792
686	1733	789
687	1735	786
688	1737	784
689	1739	781
690	1741	778
691	1743	775
692	1745	773
693	1747	770
694	1749	767
695	1751	765
696	1753	762
697	1755	759
698	1757	756
699	1760	754
700	1762	751
701	1764	748
702	1766	746
703	1768	743
704	1770	740
705	1772	737
706	1773	735
707	1776	732
708	1778	730
709	1780	727
710	1782	724
711	1784	721
712	1786	719
713	1788	716
714	1791	713
715	1793	711
716	1795	708
717	1797	706
718	1799	703
719	1801	700
720	1803	697
721	1805	695
722	1807	692
723	1809	689
724	1811	687
725	1813	684
726	1815	681
727	1817	678
728	1818	676
729	1821	673
730	1823	671
731	1825	668
732	1828	665
733	1830	663
734	1832	660
735	1834	658
736	1838	656
737	1840	653
738	1843	650
739	1845	648
740	1847	645
741	1849	643
742	1851	640
743	1853	637
744	1856	635
745	1858	632
746	1860	630
747	1862	627
748	1864	624
749	1867	622
750	1869	620
751	1872	617
752	1874	614
753	1875	612
754	1877	609
755	1879	606
756	1881	604
757	1884	601
758	1886	598
759	1888	596
760	1890	593
761	1891	590
762	1893	588
763	1895	585
764	1898	583
765	1900	580
766	1902	577
767	1904	575
768	1906	572
769	1908	570
770	1910	567
771	1913	565
772	1915	562
773	1917	559
774	1919	557
775	1922	554
776	1924	552
777	1926	549
778	1928	547
779	1931	544
780	1933	542
781	1935	539
782	1937	536
783	1939	534
784	1942	531
785	1945	529
786	1947	527
787	1949	524
788	1952	522
789	1954	519
790	1956	516
791	1959	514
792	1961	511
793	1963	509
794	1965	506
795	1967	504
796	1969	501
797	1972	499
798	1974	496
799	1976	494
800	1978	491
801	1981	489
802	1983	486
803	1985	483
804	1987	481
805	1989	478
806	1991	476
807	1994	473
808	1996	471
809	1998	468
810	2000	466
811	2002	463
812	2005	461
813	2007	458
814	2009	456
815	2012	453
816	2014	451
817	2016	448
818	2018	446
819	2020	443
820	2023	441
821	2026	438
822	2028	436
823	2031	433
824	2033	431
825	2036	428
826	2038	426
827	2040	423
828	2042	421
829	2044	418
830	2047	416
831	2049	413
832	2051	411
833	2054	408
834	2056	406
835	2058	403
836	2060	401
837	2062	398
838	2065	396
839	2067	393
840	2069	391
841	2072	388
842	2074	386
843	2076	383
844	2078	381
845	2081	378
846	2083	376
847	2086	373
848	2088	371
849	2090	368
850	2092	366
851	2094	363
852	2097	361
853	2099	358
854	2101	356
855	2103	353
856	2105	351
857	2107	348
858	2109	346
859	2112	343
860	2114	341
861	2117	338
862	2119	336
863	2121	333
864	2123	331
865	2125	328
866	2128	326
867	2130	323
868	2132	321
869	2134	318
870	2136	316
871	2138	313
872	2142	311
873	2144	309
874	2146	306
875	2148	304
876	2150	301
877	2152	299
878	2155	296
879	2157	294
880	2159	291
881	2162	289
882	2164	286
883	2166	284
884	2168	281
885	2171	279
886	2173	276
887	2175	274
888	2178	271
889	2180	269
890	2182	267
891	2185	264
892	2188	262
893	2190	259
894	2192	257
895	2194	254
896	2197	252
897	2199	249
898	2202	247
899	2204	244
900	2206	242
901	2208	239
902	2210	237
903	2213	235
904	2216	232
905	2218	230
906	2221	227
907	2223	225
908	2225	222
909	2227	220
910	2230	217
911	2232	215
912	2235	213
913	2237	210
914	2240	208
915	2242	205
916	2244	203
917	2247	200
918	2249	198
919	2252	195
920	2254	193
921	2256	190
922	2258	188
923	2260	185
924	2263	183
925	2265	181
926	2267	178
927	2269	176
928	2272	173
929	2274	171
930	2277	168
931	2279	166
932	2282	163
933	2284	161
934	2286	158
935	2288	156
936	2290	154
937	2293	151
938	2296	149
939	2298	146
940	2300	144
941	2302	141
942	2304	139
943	2307	136
944	2309	134
945	2311	131
946	2314	129
947	2316	127
948	2318	124
949	2320	122
950	2323	119
951	2325	117
952	2327	114
953	2329	112
954	2331	109
955	2333	107
956	2335	104
957	2339	102
958	2341	100
959	2343	97
960	2345	95
961	2347	92
962	2349	90
963	2352	87
964	2354	85
965	2357	82
966	2359	80
967	2361	78
968	2363	75
969	2365	73
970	2368	70
971	2370	68
972	2372	65
973	2375	63
974	2377	60
975	2379	58
976	2382	56
977	2385	53
978	2388	51
979	2390	48
980	2392	46
981	2394	43
982	2397	41
983	2400	39
984	2403	36
985	2406	34
986	2408	31
987	2411	29
988	2414	26
989	2417	24
990	2419	21
991	2421	19
992	2423	17
993	2425	14
994	2427	12
995	2430	9
996	2432	7
997	2434	4
998	2436	2
999	2439	0
